FA;NN;Nom;Prenom;Annee;Trimestre;BrutDMFA;NetReel;NetDeclare;EcartPct;ClasseAttendue
FA00741242;5000081102;Dufour;Nora;2025;1;2369.31;1700.98;1700.98;0.0;Conforme
FA00753383;91112570350;Gautier;Rachid;2025;1;10764.33;6190.04;6190.04;0.0;Conforme
FA00675753;82031906739;Giraud;Sébastien;2025;1;2413.13;1647.66;1647.66;0.0;Conforme
FA00715290;95121272425;Clément;Charlotte;2025;1;2083.58;1339.46;870.65;35.0;EcartAControler
FA00698376;86071860432;Olivier;Khalid;2025;1;3882.64;2676.81;2676.81;0.0;Conforme
FA00709031;88061361512;Noël;Camille;2025;1;2484.23;1782.59;1782.59;0.0;Conforme
FA00741081;3080231960;Rivière;Thomas;2025;1;4203.68;2806.56;2806.56;0.0;Conforme
FA00667515;3123149908;Benoit;Samira;2025;1;;1005.60;1005.60;0.0;DeclareSansBCSS
FA00719421;98122375617;Roussel;Nadia;2025;1;3135.99;2173.86;2173.86;0.0;Conforme
FA00748375;81122860648;Lefebvre;Anissa;2025;1;5760.60;3714.67;3714.67;0.0;Conforme
FA00738638;1040450535;Blanchard;Youssef;2025;1;;387.72;387.72;0.0;DeclareSansBCSS
FA00736913;2080249953;Roche;Vincent;2025;1;507.89;376.85;376.85;0.0;Conforme
FA00747592;87000239514;Roger;Valérie;2025;1;1656.01;1213.52;1213.52;0.0;Conforme
FA00722089;92082572924;Fabre;Sophie;2025;1;5840.36;3425.30;3425.30;0.0;Conforme
FA00760981;82080165130;Renard;Khalid;2025;1;6179.20;3608.11;3608.11;0.0;Conforme
FA00672121;82041663157;Nguyen;Sébastien;2025;1;;4993.29;4993.29;0.0;DeclareSansBCSS
FA00769716;87101069331;Legrand;Marine;2025;1;1721.56;1281.41;1281.41;0.0;Conforme
FA00701230;6013167512;Vidal;Sébastien;2025;1;2984.01;1745.76;1745.76;0.0;Conforme
FA00680000;93010765132;Brunet;Delphine;2025;1;1491.11;994.53;994.53;0.0;Conforme
FA00767167;95051279995;Henry;Laura;2025;1;868.67;609.33;609.33;0.0;Conforme
FA00738925;90071722837;Blanchard;Émilie;2025;1;4645.10;2635.51;2635.51;0.0;Conforme
FA00734340;89040772688;Boyer;Benjamin;2025;1;4645.92;3049.54;3049.54;0.0;Conforme
FA00746018;2000222379;Masson;Sophie;2025;1;1287.07;961.01;961.01;0.0;Conforme
FA00615724;79121557737;Roche;Ibrahim;2025;1;6382.69;4055.22;4055.22;0.0;Conforme
FA00727186;92091882845;Lambert;Quentin;2025;1;6641.78;3839.77;3839.77;0.0;Conforme
FA00724669;98020272922;Mathieu;Fatima;2025;1;10615.33;6058.47;6058.47;0.0;Conforme
FA00590830;76022858786;Brun;Nicolas;2025;1;4692.25;2544.43;2544.43;0.0;Conforme
FA00724844;6061354142;Durand;Nicolas;2025;1;1529.61;1105.34;1105.34;0.0;Conforme
FA00735353;83052666443;Mathieu;Aurélie;2025;1;7267.11;4463.96;4463.96;0.0;Conforme
FA00657000;81000087055;Gautier;Aurélie;2025;1;2306.90;1415.76;1415.76;0.0;Conforme
FA00753479;97030165713;Lemoine;Sébastien;2025;1;1288.89;966.49;966.49;0.0;Conforme
FA00749101;84081254146;Moreau;Amélie;2025;1;2860.65;1679.69;1679.69;0.0;Conforme
FA00668746;87091570853;Lambert;Sébastien;2025;1;3593.84;2452.22;2452.22;0.0;Conforme
FA00671739;89071279584;Michel;Antoine;2025;1;8654.25;5168.93;5168.93;0.0;Conforme
FA00722398;90072670170;Michel;Cédric;2025;1;8241.67;4636.83;4636.83;0.0;Conforme
FA00740401;92040670211;Fontaine;Yasmina;2025;1;7602.94;4576.03;2974.42;35.0;EcartAControler
FA00705230;72122450877;Meunier;Louis;2025;1;2227.05;1594.12;1036.17;35.0;EcartAControler
FA00729306;84100178351;Denis;Vincent;2025;1;4139.36;2789.03;2789.03;0.0;Conforme
FA00695247;2031729068;Schmitt;Antoine;2025;1;5259.96;3416.54;3416.54;0.0;Conforme
FA00736997;88061078727;Brun;Benjamin;2025;1;4319.56;2902.29;2902.29;0.0;Conforme
FA00727632;4032251724;Blanc;Grégory;2025;1;3399.23;2344.33;2344.33;0.0;Conforme
FA00768593;91113054558;Michel;Claire;2025;1;13683.00;7647.70;7647.70;0.0;Conforme
FA00731129;98050165748;Simon;Romain;2025;1;5074.66;3307.48;3307.48;0.0;Conforme
FA00690267;81010275124;Picard;Émilie;2025;1;10319.35;5998.47;5998.47;0.0;Conforme
FA00719788;79090949485;Lemaire;Chloé;2025;1;1893.07;1371.51;1371.51;0.0;Conforme
FA00768669;93050787629;Lemoine;Nora;2025;1;1614.92;1193.08;1193.08;0.0;Conforme
FA00684505;72122169082;Henry;Anissa;2025;1;7684.14;4728.64;4728.64;0.0;Conforme
FA00761661;1062755189;Rey;Benjamin;2025;1;1676.70;1241.07;1241.07;0.0;Conforme
FA00745186;88021357227;Blanchard;Ibrahim;2025;1;10498.29;5945.44;5945.44;0.0;Conforme
FA00713581;84041760892;Clément;Vincent;2025;1;4775.31;3201.86;3201.86;0.0;Conforme
FA00728155;3000284560;Garcia;Manon;2025;1;3316.89;2250.52;2250.52;0.0;Conforme
FA00742583;92120648887;Blanchard;Adam;2025;1;5966.18;3524.42;3524.42;0.0;Conforme
FA00721946;95120252836;Lemoine;Mehdi;2025;1;2871.67;2032.01;2032.01;0.0;Conforme
FA00679123;6103154115;Lefebvre;Samira;2025;1;5280.91;3388.45;3388.45;0.0;Conforme
FA00713690;3010528651;Brun;Émilie;2025;1;837.14;591.62;591.62;0.0;Conforme
FA00701596;90011074774;Dumont;Delphine;2025;1;5275.82;3482.34;3482.34;0.0;Conforme
FA00765212;93091394007;Dumont;Maxime;2025;1;3031.18;2116.06;2116.06;0.0;Conforme
FA00671213;88102351633;Moreau;Chloé;2025;1;270.04;208.97;208.97;0.0;Conforme
FA00684504;87010571695;Giraud;Thomas;2025;1;5176.62;3372.59;3372.59;0.0;Conforme
FA00764831;3052647536;Dufour;Nicolas;2025;1;6383.36;3686.63;3686.63;0.0;Conforme
FA00754530;99061578117;Clément;Émilie;2025;1;7690.14;4712.50;4712.50;0.0;Conforme
FA00728297;80010958061;François;Pierre;2025;1;6493.95;4075.80;4075.80;0.0;Conforme
FA00734220;79091467644;Barbier;Amélie;2025;1;3120.68;1849.70;1849.70;0.0;Conforme
FA00718170;68071259042;Clément;Émilie;2025;1;2358.80;1599.30;1039.55;35.0;EcartAControler
FA00710596;93092486840;Moreau;Émilie;2025;1;5169.71;3392.18;3392.18;0.0;Conforme
FA00696873;99050848135;Lemaire;Mathieu;2025;1;694.60;502.06;502.06;0.0;Conforme
FA00723754;94012475818;Fontaine;Samira;2025;1;;1840.27;1840.27;0.0;DeclareSansBCSS
FA00676893;88010355447;Boyer;Grégory;2025;1;5472.35;3524.05;3524.05;0.0;Conforme
FA00747427;99091264273;Leroy;Vincent;2025;1;8297.16;5012.06;5012.06;0.0;Conforme
FA00728744;82633834;Roussel;Aïcha;2025;1;2704.71;1828.82;1828.82;0.0;Conforme
FA00661072;4041544027;Lambert;Pauline;2025;1;1401.55;1041.50;1041.50;0.0;Conforme
FA00661523;80000131475;Marie;Romain;2025;1;4776.13;3178.51;3178.51;0.0;Conforme
FA00722476;93032858168;Bernard;Laura;2025;1;3787.00;2592.80;2592.80;0.0;Conforme
FA00700069;98111373837;Rivière;Samira;2025;1;1635.60;1052.86;1052.86;0.0;Conforme
FA00757340;93061349345;Lemoine;Nora;2025;1;8911.51;5320.57;5320.57;0.0;Conforme
FA00648526;89111367013;Masson;Romain;2025;1;3295.82;2196.59;2196.59;0.0;Conforme
FA00756872;96052380769;Meunier;Rachid;2025;1;7040.15;4293.86;2791.01;35.0;EcartAControler
FA00723005;94120261525;Dumas;Nassim;2025;1;8865.28;5191.68;5191.68;0.0;Conforme
FA00744493;92071524921;Moreau;Benjamin;2025;1;3854.54;2619.93;2619.93;0.0;Conforme
FA00760440;21749310;Mercier;Bilal;2025;1;6024.40;3850.23;3850.23;0.0;Conforme
FA00714659;95041369169;Dumont;Élise;2025;1;4044.91;2593.32;2593.32;0.0;Conforme
FA00731294;83000215573;Lucas;Sophie;2025;1;2664.28;1907.08;1907.08;0.0;Conforme
FA00762271;3021448772;Arnaud;Khalid;2025;1;5228.99;3210.37;3210.37;0.0;Conforme
FA00761162;88041584992;Marchand;Benjamin;2025;1;1891.33;1374.86;1374.86;0.0;Conforme
FA00751904;88111567623;Vincent;Camille;2025;1;658.20;507.10;507.10;0.0;Conforme
FA00747285;97052980212;Michel;Grégory;2025;1;1665.81;1213.64;1213.64;0.0;Conforme
FA00746742;88000243988;Dumont;Camille;2025;1;1192.98;864.18;864.18;0.0;Conforme
FA00775985;78090564137;Barbier;Ibrahim;2025;1;1726.50;1278.28;1278.28;0.0;Conforme
FA00748659;68091663387;Boyer;Sébastien;2025;1;1013.18;703.04;703.04;0.0;Conforme
FA00748658;97121272962;Lefebvre;Leïla;2025;1;14718.76;8150.83;8150.83;0.0;Conforme
FA00734846;91030881504;Leroy;Émilie;2025;1;12591.45;6990.66;6990.66;0.0;Conforme
FA00739551;97040559658;Perrin;Nora;2025;1;7062.65;4376.85;4376.85;0.0;Conforme
FA00750813;98102450728;Lambert;Aïcha;2025;1;;3571.06;3571.06;0.0;DeclareSansBCSS
FA00761588;5000085357;Gautier;Hugo;2025;1;3683.67;2118.19;2118.19;0.0;Conforme
FA00736867;88092973515;Arnaud;Youssef;2025;1;7755.89;4680.55;4680.55;0.0;Conforme
FA00735694;84082762297;Perrin;Sarah;2025;1;2533.92;1792.23;1792.23;0.0;Conforme
FA00697982;92020860930;Picard;Sébastien;2025;1;3280.01;2210.30;2210.30;0.0;Conforme
FA00754605;91081562321;Lemaire;François;2025;1;1132.79;868.74;868.74;0.0;Conforme
FA00679759;94122973565;Philippe;Nassim;2025;1;3794.54;2438.76;2438.76;0.0;Conforme
FA00699854;93032055345;Martin;Nicolas;2025;1;3407.85;2334.90;2334.90;0.0;Conforme
FA00745923;91061479856;Petit;Nora;2025;1;7138.52;4481.67;4481.67;0.0;Conforme
FA00761238;76111854209;Gérard;Romain;2025;1;1190.51;880.15;880.15;0.0;Conforme
FA00713085;97032172920;Lambert;Céline;2025;1;2524.35;1511.23;1511.23;0.0;Conforme
FA00702893;74121664033;Vidal;Nassim;2025;1;2796.61;1914.24;1244.25;35.0;EcartAControler
FA00735669;89100270411;Payet;Sophie;2025;1;5389.53;3546.12;3546.12;0.0;Conforme
FA00768339;96102746931;Nguyen;Nadia;2025;1;1228.09;924.86;924.86;0.0;Conforme
FA00747713;1081931792;Fontaine;Maxime;2025;1;1062.49;790.26;513.67;35.0;EcartAControler
FA00734677;94013061677;Brun;Amélie;2025;1;1565.25;1046.61;1046.61;0.0;Conforme
FA00738954;84102696985;Martin;Élise;2025;1;8753.89;5233.48;5233.48;0.0;Conforme
FA00731228;96040170746;Joly;Rachid;2025;1;3002.43;2015.56;2015.56;0.0;Conforme
FA00725176;83031576366;Clément;Delphine;2025;1;1894.44;1377.72;1377.72;0.0;Conforme
FA00675575;92050871542;Rey;François;2025;1;14209.24;7939.79;7939.79;0.0;Conforme
FA00717701;88101765673;Gauthier;Nassim;2025;1;2010.76;1448.56;1448.56;0.0;Conforme
FA00733750;96100181973;Rousseau;Grégory;2025;1;1292.09;867.44;867.44;0.0;Conforme
FA00754847;85092667802;Denis;François;2025;1;9895.79;5755.75;5755.75;0.0;Conforme
FA00697372;62351332;Legrand;Charlotte;2025;1;8494.36;5128.88;5128.88;0.0;Conforme
FA00684484;88031352284;Moreau;Anissa;2025;1;8577.23;5181.26;5181.26;0.0;Conforme
FA00719194;79081848808;Gaillard;Louis;2025;1;4158.23;2791.15;2791.15;0.0;Conforme
FA00684487;84111748966;Vidal;Adam;2025;1;;5427.71;5427.71;0.0;DeclareSansBCSS
FA00757015;85070368490;Colin;Mehdi;2025;1;5220.38;3217.09;3217.09;0.0;Conforme
FA00752338;83052570037;Denis;Yasmina;2025;1;6305.92;3987.88;3987.88;0.0;Conforme
FA00717700;81112068508;Leroy;Inès;2025;1;5209.08;3412.28;3412.28;0.0;Conforme
FA00763992;87000245353;Legrand;Inès;2025;1;6326.86;4023.45;4023.45;0.0;Conforme
FA00699200;80042060815;Muller;Nora;2025;1;7258.81;4145.88;2694.82;35.0;EcartAControler
FA00724128;89123058580;Lacroix;Élise;2025;1;3560.77;2433.94;2433.94;0.0;Conforme
FA00751304;4122753318;Legrand;Valérie;2025;1;7684.05;4628.30;4628.30;0.0;Conforme
FA00766739;96051584973;Muller;Anissa;2025;1;2590.98;1832.39;1832.39;0.0;Conforme
FA00757261;87021455293;Leroy;Leïla;2025;1;11520.90;6252.65;6252.65;0.0;Conforme
FA00696664;90090474026;Gautier;Julien;2025;1;1351.96;1012.32;1012.32;0.0;Conforme
FA00720655;1122644771;Clément;Thomas;2025;1;2973.49;1733.51;1733.51;0.0;Conforme
FA00739910;7071758701;Aubert;Nicolas;2025;1;1387.32;922.19;922.19;0.0;Conforme
FA00649194;77010944635;Martin;Mehdi;2025;1;;3275.33;3275.33;0.0;DeclareSansBCSS
FA00713259;88012073337;Guérin;Julien;2025;1;1306.41;982.03;982.03;0.0;Conforme
FA00688769;82051771052;Guérin;Delphine;2025;1;10048.51;5772.16;5772.16;0.0;Conforme
FA00708361;97111648780;Marie;Louis;2025;1;11516.22;6412.69;4168.25;35.0;EcartAControler
FA00751497;92051540644;Schmitt;Maxime;2025;1;9133.94;5344.10;5344.10;0.0;Conforme
FA00718121;4021749988;Colin;Justine;2025;1;741.30;570.17;570.17;0.0;Conforme
FA00745913;91110154060;Lambert;Nicolas;2025;1;5845.73;3750.46;3750.46;0.0;Conforme
FA00749171;7011057584;Lemoine;Nassim;2025;1;1631.42;1205.18;1205.18;0.0;Conforme
FA00693158;91120675095;Picard;Leïla;2025;1;3315.04;2164.00;2164.00;0.0;Conforme
FA00672003;94050372827;Rousseau;Salima;2025;1;;4735.40;4735.40;0.0;DeclareSansBCSS
FA00765827;254902;Dumas;Benjamin;2025;1;1132.52;802.50;802.50;0.0;Conforme
FA00762457;99081778762;Blanchard;Cédric;2025;1;3638.95;2340.77;2340.77;0.0;Conforme
FA00756653;90111472150;Arnaud;Céline;2025;1;;631.30;631.30;0.0;DeclareSansBCSS
FA00739355;86000227120;Petit;Sophie;2025;1;3628.28;2515.40;2515.40;0.0;Conforme
FA00748516;30254923;Boyer;Youssef;2025;1;;2141.50;2141.50;0.0;DeclareSansBCSS
FA00660794;4020239857;Leroy;Sarah;2025;1;12343.25;6901.25;6901.25;0.0;Conforme
FA00678848;92022770444;Gérard;Sébastien;2025;1;4135.75;2676.83;2676.83;0.0;Conforme
FA00760412;97032779367;Boyer;Anissa;2025;1;380.17;298.54;194.05;35.0;EcartAControler
FA00719190;93101062432;Caron;Julien;2025;1;1941.41;1412.96;1412.96;0.0;Conforme
FA00747121;97070372708;Pierre;Amélie;2025;1;10017.58;5808.08;5808.08;0.0;Conforme
FA00707422;60011156284;Chevalier;Chloé;2025;1;2910.67;2069.68;2069.68;0.0;Conforme
FA00769495;95061064822;Gérard;Samira;2025;1;1372.68;1004.44;1004.44;0.0;Conforme
FA00769050;72050971181;Giraud;Olivier;2025;1;1162.19;873.93;873.93;0.0;Conforme
FA00765885;87030373751;Brun;Sébastien;2025;1;1062.06;794.92;794.92;0.0;Conforme
FA00754542;82012770520;Legrand;Nassim;2025;1;2260.98;1396.51;1396.51;0.0;Conforme
FA00681612;4011127795;Gérard;Claire;2025;1;10137.89;5810.45;5810.45;0.0;Conforme
FA00703976;88060671525;Noël;Justine;2025;1;1117.61;808.36;808.36;0.0;Conforme
FA00698877;89102152112;Durand;Louis;2025;1;10726.32;6066.09;6066.09;0.0;Conforme
FA00726066;85091667613;Roy;Sébastien;2025;1;6983.17;4328.48;4328.48;0.0;Conforme
FA00684804;89020555514;Roy;Samira;2025;1;;3026.12;3026.12;0.0;DeclareSansBCSS
FA00766731;1121351505;Masson;Camille;2025;1;1629.49;1217.62;1217.62;0.0;Conforme
FA00754224;88011860531;Arnaud;Élise;2025;1;12133.83;6764.94;6764.94;0.0;Conforme
FA00764808;89022873220;Blanchard;François;2025;1;502.95;380.82;380.82;0.0;Conforme
FA00765442;93021275180;Noël;Camille;2025;1;7736.93;4692.67;4692.67;0.0;Conforme
FA00754225;92101068844;Philippe;Adam;2025;1;6028.44;3822.05;3822.05;0.0;Conforme
FA00717437;4011039507;Roche;Nicolas;2025;1;5610.23;3400.98;3400.98;0.0;Conforme
FA00716792;99020280366;Noël;Élise;2025;1;2148.91;1322.19;1322.19;0.0;Conforme
FA00686161;74000310303;Gaillard;Anissa;2025;1;2907.51;2030.23;2030.23;0.0;Conforme
FA00708752;88050965783;Pierre;Grégory;2025;1;4506.20;3033.69;3033.69;0.0;Conforme
FA00759974;72072072542;Morin;Nassim;2025;1;2328.25;1652.26;1652.26;0.0;Conforme
FA00758168;86062083525;Blanc;François;2025;1;4443.80;2808.41;2808.41;0.0;Conforme
FA00762559;4121830729;Garcia;Fatima;2025;1;2628.56;1885.15;1885.15;0.0;Conforme
FA00702560;88091157734;Lefebvre;Céline;2025;1;6366.20;4002.38;4002.38;0.0;Conforme
FA00758925;77100250852;Mathieu;Amélie;2025;1;3340.97;2302.62;1496.70;35.0;EcartAControler
FA00727625;99010572151;Lemaire;Karim;2025;1;6101.30;3586.62;3586.62;0.0;Conforme
FA00717523;64112057453;Noël;Rachid;2025;1;5191.37;3417.95;3417.95;0.0;Conforme
FA00738400;86082670685;Dumont;Claire;2025;1;1617.00;1075.63;1075.63;0.0;Conforme
FA00703578;96092580341;Mercier;Valérie;2025;1;3.70;2.99;2.99;0.0;Conforme
FA00714865;96030670189;Lemoine;Olivier;2025;1;3407.49;2190.46;2190.46;0.0;Conforme
FA00761680;92051974174;Aubert;Inès;2025;1;1714.26;1214.55;1214.55;0.0;Conforme
FA00757260;78101547408;Perrin;Sébastien;2025;1;;8410.70;8410.70;0.0;DeclareSansBCSS
FA00720627;88112365595;Petit;Élise;2025;1;1678.23;1188.73;1188.73;0.0;Conforme
FA00726287;95112068907;Brun;Valérie;2025;1;3501.43;2384.56;2384.56;0.0;Conforme
FA00766460;88071577788;Giraud;Nassim;2025;1;2586.13;1861.64;1861.64;0.0;Conforme
FA00720998;81072560705;Fontaine;Rachid;2025;1;12918.63;7145.66;7145.66;0.0;Conforme
FA00710954;79102367771;Joly;Fatima;2025;1;2869.52;1752.05;1752.05;0.0;Conforme
FA00763576;87032080654;Gérard;Pauline;2025;1;967.78;687.97;687.97;0.0;Conforme
FA00713936;91101083273;Renaud;Khalid;2025;1;969.60;671.48;671.48;0.0;Conforme
FA00768737;50142297;Simon;Delphine;2025;1;;1528.72;1528.72;0.0;DeclareSansBCSS
FA00679994;77022565532;Picard;Pauline;2025;1;2851.70;1680.94;1680.94;0.0;Conforme
FA00697718;81020161008;Mathieu;Delphine;2025;1;1458.42;1098.80;1098.80;0.0;Conforme
FA00748611;83040667939;Joly;Antoine;2025;1;;4223.33;4223.33;0.0;DeclareSansBCSS
FA00681216;80021057246;Guérin;Nora;2025;1;4395.50;2757.83;2757.83;0.0;Conforme
FA00727030;83000104024;Muller;Karim;2025;1;13117.65;7298.45;7298.45;0.0;Conforme
FA00758957;91120966689;Philippe;Antoine;2025;1;2988.38;1750.65;1750.65;0.0;Conforme
FA00739352;92030577459;Lemoine;Khalid;2025;1;633.41;458.70;458.70;0.0;Conforme
FA00686183;95042251275;Moreau;Fatima;2025;1;5327.92;3245.70;3245.70;0.0;Conforme
FA00715348;122332766;Garcia;Salima;2025;1;443.99;335.23;335.23;0.0;Conforme
FA00712546;87062762843;Olivier;Antoine;2025;1;7096.49;4403.83;4403.83;0.0;Conforme
FA00707869;20254520;Gérard;Karim;2025;1;3253.69;2284.39;2284.39;0.0;Conforme
FA00750142;99020656686;Barbier;Thomas;2025;1;7263.69;4511.50;4511.50;0.0;Conforme
FA00758984;91092954475;Noël;Antoine;2025;1;264.61;204.93;204.93;0.0;Conforme
FA00707017;90022778419;Bernard;Salima;2025;1;661.52;503.56;503.56;0.0;Conforme
FA00718365;95000076863;Brunet;Salima;2025;1;4112.30;2616.66;2616.66;0.0;Conforme
FA00768986;93080863468;Fontaine;Yasmina;2025;1;3260.64;2164.59;2164.59;0.0;Conforme
FA00772100;92091949953;Martin;Benjamin;2025;1;;721.82;721.82;0.0;DeclareSansBCSS
FA00721964;80071956017;Lemaire;Nassim;2025;1;5400.25;3522.63;3522.63;0.0;Conforme
FA00752182;99030380046;Benoit;Ibrahim;2025;1;6.42;5.09;5.09;0.0;Conforme
FA00696239;93121847453;Garnier;Nicolas;2025;1;2858.54;1949.95;1949.95;0.0;Conforme
FA00766064;96030772733;Roy;François;2025;1;5395.91;3276.76;3276.76;0.0;Conforme
FA00751509;99031447145;Leclerc;Olivier;2025;1;4706.01;3110.56;3110.56;0.0;Conforme
FA00707166;93071969558;Barbier;Sébastien;2025;1;4822.09;2960.24;2960.24;0.0;Conforme
FA00681193;91080869661;Rousseau;Pauline;2025;1;2436.35;1746.64;1746.64;0.0;Conforme
FA00733107;90031269283;Leroy;Antoine;2025;1;2113.05;1315.85;1315.85;0.0;Conforme
FA00756981;83030869157;Lemoine;Laura;2025;1;13121.37;7209.43;7209.43;0.0;Conforme
FA00742208;12748106;Vincent;Cédric;2025;1;7888.68;4762.52;4762.52;0.0;Conforme
FA00718575;2022247814;Gauthier;Quentin;2025;1;2638.73;1865.71;1865.71;0.0;Conforme
FA00687132;79050766444;Masson;Hugo;2025;1;1021.48;716.50;465.73;35.0;EcartAControler
FA00751231;90071774505;Roy;Julien;2025;1;1452.53;994.39;994.39;0.0;Conforme
FA00700545;84072669448;Dumont;Quentin;2025;1;5431.89;3478.44;3478.44;0.0;Conforme
FA00718326;92000077887;Barbier;Bilal;2025;1;3391.69;2195.50;2195.50;0.0;Conforme
FA00741254;5061741131;Joly;Damien;2025;1;2155.09;1355.67;1355.67;0.0;Conforme
FA00655810;89101774604;Meyer;Nicolas;2025;1;;1103.85;1103.85;0.0;DeclareSansBCSS
FA00741257;83071464746;Benoit;Yasmina;2025;1;;1402.37;1402.37;0.0;DeclareSansBCSS
FA00648452;94022861746;Robin;Nicolas;2025;1;5984.83;3790.19;3790.19;0.0;Conforme
FA00711751;83101558995;Garcia;Charlotte;2025;1;3161.66;1853.75;1853.75;0.0;Conforme
FA00708634;1021032125;Vincent;Delphine;2025;1;;1156.22;1156.22;0.0;DeclareSansBCSS
FA00768786;88051562928;Roger;Samira;2025;1;1400.83;1018.83;1018.83;0.0;Conforme
